,matchId,game_result,summoner_1_win_avg,summoner_1_visionScore_avg,summoner_1_turretKills_avg,summoner_1_totalDamageDealt_avg,summoner_1_goldEarned_avg,summoner_1_dragonKills_avg,summoner_1_damageDealtToObjectives_avg,summoner_1_assists_avg,summoner_1_deaths_avg,summoner_1_kills_avg,summoner_2_win_avg,summoner_2_visionScore_avg,summoner_2_turretKills_avg,summoner_2_totalDamageDealt_avg,summoner_2_goldEarned_avg,summoner_2_dragonKills_avg,summoner_2_damageDealtToObjectives_avg,summoner_2_assists_avg,summoner_2_deaths_avg,summoner_2_kills_avg,summoner_3_win_avg,summoner_3_visionScore_avg,summoner_3_turretKills_avg,summoner_3_totalDamageDealt_avg,summoner_3_goldEarned_avg,summoner_3_dragonKills_avg,summoner_3_damageDealtToObjectives_avg,summoner_3_assists_avg,summoner_3_deaths_avg,summoner_3_kills_avg,summoner_4_win_avg,summoner_4_visionScore_avg,summoner_4_turretKills_avg,summoner_4_totalDamageDealt_avg,summoner_4_goldEarned_avg,summoner_4_dragonKills_avg,summoner_4_damageDealtToObjectives_avg,summoner_4_assists_avg,summoner_4_deaths_avg,summoner_4_kills_avg,summoner_5_win_avg,summoner_5_visionScore_avg,summoner_5_turretKills_avg,summoner_5_totalDamageDealt_avg,summoner_5_goldEarned_avg,summoner_5_dragonKills_avg,summoner_5_damageDealtToObjectives_avg,summoner_5_assists_avg,summoner_5_deaths_avg,summoner_5_kills_avg,summoner_6_win_avg,summoner_6_visionScore_avg,summoner_6_turretKills_avg,summoner_6_totalDamageDealt_avg,summoner_6_goldEarned_avg,summoner_6_dragonKills_avg,summoner_6_damageDealtToObjectives_avg,summoner_6_assists_avg,summoner_6_deaths_avg,summoner_6_kills_avg,summoner_7_win_avg,summoner_7_visionScore_avg,summoner_7_turretKills_avg,summoner_7_totalDamageDealt_avg,summoner_7_goldEarned_avg,summoner_7_dragonKills_avg,summoner_7_damageDealtToObjectives_avg,summoner_7_assists_avg,summoner_7_deaths_avg,summoner_7_kills_avg,summoner_8_win_avg,summoner_8_visionScore_avg,summoner_8_turretKills_avg,summoner_8_totalDamageDealt_avg,summoner_8_goldEarned_avg,summoner_8_dragonKills_avg,summoner_8_damageDealtToObjectives_avg,summoner_8_assists_avg,summoner_8_deaths_avg,summoner_8_kills_avg,summoner_9_win_avg,summoner_9_visionScore_avg,summoner_9_turretKills_avg,summoner_9_totalDamageDealt_avg,summoner_9_goldEarned_avg,summoner_9_dragonKills_avg,summoner_9_damageDealtToObjectives_avg,summoner_9_assists_avg,summoner_9_deaths_avg,summoner_9_kills_avg,summoner_10_win_avg,summoner_10_visionScore_avg,summoner_10_turretKills_avg,summoner_10_totalDamageDealt_avg,summoner_10_goldEarned_avg,summoner_10_dragonKills_avg,summoner_10_damageDealtToObjectives_avg,summoner_10_assists_avg,summoner_10_deaths_avg,summoner_10_kills_avg
10,EUW1_5527010190,0,0.44,19.86,1.44,107657.78,10057.88,0.08,7016.72,6.78,6.3,3.56,0.6122448979591837,21.408163265306122,1.2040816326530612,155431.0,11615.081632653062,1.2040816326530612,21625.38775510204,7.816326530612245,3.857142857142857,8.489795918367347,0.6,29.82,1.12,138893.4,12235.56,0.18,8314.72,7.42,4.6,7.16,0.5714285714285714,28.244897959183675,1.6326530612244898,132928.7142857143,11825.30612244898,0.20408163265306123,10244.775510204081,8.204081632653061,5.204081632653061,6.571428571428571,0.54,40.82,0.52,40015.46,9215.72,0.04,2057.2,13.86,6.68,5.22,0.4489795918367347,20.285714285714285,1.4489795918367347,124920.0612244898,11648.897959183674,0.20408163265306123,9749.469387755102,5.510204081632653,6.408163265306122,7.183673469387755,0.56,17.96,1.22,147169.6,11061.32,1.04,19809.14,7.32,4.76,7.3,0.5306122448979592,20.571428571428573,1.6122448979591837,166068.693877551,12913.285714285714,0.1836734693877551,11151.020408163266,6.244897959183674,5.755102040816326,7.244897959183674,0.54,12.9,1.52,128393.0,11406.16,0.16,9411.1,6.26,6.56,7.1,0.58,35.82,0.62,58540.4,9601.28,0.16,5099.84,13.04,6.96,5.78
11,EUW1_5521475473,1,0.5306122448979592,21.6734693877551,1.5918367346938775,161872.67346938775,12767.69387755102,0.1836734693877551,11030.020408163266,6.387755102040816,5.755102040816326,7.061224489795919,0.42,18.2,1.48,112073.76,10452.88,0.22,8762.46,6.66,7.92,5.44,0.4897959183673469,17.0,1.0816326530612246,132513.55102040817,11566.204081632653,0.12244897959183673,6309.938775510204,7.0,6.326530612244898,6.8979591836734695,0.5,25.6,1.18,144185.34,11860.34,0.22,11046.54,7.44,6.64,6.18,0.5306122448979592,23.346938775510203,0.9387755102040817,112378.6530612245,10886.714285714286,0.1836734693877551,6054.306122448979,8.673469387755102,5.469387755102041,5.775510204081633,0.48,31.26,1.34,117471.04,10816.46,0.08,7947.7,5.58,5.74,4.06,0.5918367346938775,24.897959183673468,0.7142857142857143,161386.24489795917,12659.265306122448,1.3265306122448979,19340.428571428572,8.918367346938776,5.918367346938775,8.040816326530612,0.44,17.52,1.36,139564.86,11969.68,0.38,10029.98,6.72,6.84,8.96,0.4897959183673469,19.20408163265306,1.6326530612244898,130637.4693877551,11214.836734693878,0.14285714285714285,10529.040816326531,6.571428571428571,4.775510204081633,6.0,0.42,44.86,0.12,18211.4,7075.02,0.02,1068.4,14.44,6.24,1.66
12,EUW1_5521461318,1,0.4897959183673469,31.285714285714285,1.3673469387755102,117201.3469387755,10776.877551020409,0.08163265306122448,8029.102040816327,5.530612244897959,5.612244897959184,4.061224489795919,0.44,18.86,0.64,120773.06,10626.92,1.32,17425.64,6.48,5.84,9.18,0.5510204081632653,21.591836734693878,1.5918367346938775,162957.77551020408,12791.673469387755,0.1836734693877551,11057.469387755102,6.428571428571429,5.714285714285714,7.122448979591836,0.54,24.4,1.24,138707.94,11752.32,0.18,9797.22,8.54,5.98,6.72,0.5102040816326531,59.02040816326531,0.42857142857142855,33948.95918367347,8314.102040816326,0.02040816326530612,2832.612244897959,15.653061224489797,6.0,2.836734693877551,0.56,20.12,1.74,109946.7,10810.56,0.08,8126.88,7.02,5.72,5.74,0.5510204081632653,24.285714285714285,0.673469387755102,160573.22448979592,11365.836734693878,1.0612244897959184,19665.020408163266,7.6938775510204085,4.530612244897959,7.73469387755102,0.44,17.52,1.36,139564.86,11969.68,0.38,10029.98,6.72,6.84,8.96,0.5102040816326531,25.79591836734694,1.183673469387755,144386.5918367347,11879.122448979591,0.22448979591836735,11161.061224489797,7.3061224489795915,6.673469387755102,6.26530612244898,0.42,64.8,0.24,20334.58,7843.56,0.02,1445.54,13.28,5.14,2.74
13,EUW1_5521386656,1,0.4897959183673469,19.79591836734694,1.489795918367347,110890.77551020408,10640.081632653062,0.061224489795918366,6915.061224489796,4.755102040816326,5.673469387755102,5.469387755102041,0.6,24.76,0.7,161134.72,12641.36,1.32,19119.22,9.08,5.82,8.06,0.4897959183673469,28.53061224489796,0.8163265306122449,148803.97959183675,10895.244897959185,1.3265306122448979,19513.26530612245,7.1020408163265305,4.387755102040816,6.326530612244898,0.7083333333333334,24.270833333333332,1.2083333333333333,132598.54166666666,11816.75,0.08333333333333333,6841.770833333333,9.083333333333334,5.270833333333333,7.333333333333333,0.42857142857142855,60.224489795918366,0.22448979591836735,22910.020408163266,7433.693877551021,0.0,1016.3469387755102,12.489795918367347,5.938775510204081,1.816326530612245,0.46,21.46,1.1,115242.82,10506.64,0.08,6450.08,5.84,5.58,4.64,0.4489795918367347,21.6734693877551,0.5918367346938775,124704.8163265306,10127.755102040815,0.9183673469387755,14856.734693877552,7.285714285714286,5.244897959183674,6.775510204081633,0.54,21.7,1.58,163287.26,12830.26,0.18,10936.76,6.38,5.78,7.14,0.5714285714285714,19.79591836734694,1.7551020408163265,158066.02040816325,12968.326530612245,0.20408163265306123,11380.040816326531,7.469387755102041,6.061224489795919,8.244897959183673,0.38,51.62,0.32,20869.48,6661.94,0.0,1871.34,13.04,4.04,1.24
14,EUW1_5521411496,1,0.40816326530612246,20.306122448979593,1.4285714285714286,108130.26530612246,10057.836734693878,0.061224489795918366,6915.65306122449,6.612244897959184,6.346938775510204,3.5510204081632653,0.52,23.24,0.64,118936.4,10801.26,1.14,13660.6,7.34,5.34,8.1,0.5918367346938775,18.20408163265306,0.8979591836734694,112493.40816326531,10891.69387755102,0.02040816326530612,4570.081632653061,8.673469387755102,4.612244897959184,4.857142857142857,0.4,45.36,1.0,78475.52,9671.4,0.16,6390.96,11.3,6.3,4.14,0.3877551020408163,51.285714285714285,0.32653061224489793,20781.918367346938,6653.244897959184,0.0,1851.6530612244899,13.061224489795919,4.081632653061225,1.2244897959183674,0.52,24.24,2.18,133271.14,11796.38,0.16,11066.8,5.2,5.9,6.56,0.6122448979591837,33.16326530612245,1.1428571428571428,142636.20408163266,11483.591836734693,1.2653061224489797,18958.51020408163,9.714285714285714,4.428571428571429,7.326530612244898,0.54,21.7,1.58,163287.26,12830.26,0.18,10936.76,6.38,5.78,7.14,0.42857142857142855,46.224489795918366,0.46938775510204084,70463.59183673469,9190.632653061224,0.12244897959183673,4833.224489795918,11.142857142857142,5.387755102040816,3.7346938775510203,0.62,55.4,0.48,29726.22,8596.44,0.0,1774.98,16.78,5.66,2.96
15,EUW1_5517037425,1,0.46938775510204084,23.06122448979592,0.9387755102040817,120333.3469387755,10048.265306122448,0.14285714285714285,7235.3877551020405,6.1020408163265305,5.653061224489796,4.489795918367347,0.6,25.72,0.56,155816.3,12662.1,1.5,18609.1,9.8,5.54,9.72,0.5306122448979592,46.244897959183675,0.5714285714285714,65576.02040816327,8870.061224489797,0.02040816326530612,4080.8367346938776,10.673469387755102,5.428571428571429,2.979591836734694,0.5714285714285714,22.816326530612244,1.7346938775510203,149943.0612244898,12454.897959183674,0.30612244897959184,13142.367346938776,5.959183673469388,5.795918367346939,7.571428571428571,0.6,63.12,0.42,27402.68,7963.86,0.04,2165.84,12.94,4.14,2.56,0.5918367346938775,20.489795918367346,1.653061224489796,142507.3469387755,13006.836734693878,0.2653061224489796,12766.816326530612,5.918367346938775,5.938775510204081,8.16326530612245,0.54,25.74,1.82,182091.2,13742.64,0.22,16125.3,6.44,7.84,8.84,0.5510204081632653,21.571428571428573,1.5918367346938775,163287.693877551,12856.918367346938,0.1836734693877551,11027.775510204081,6.448979591836735,5.816326530612245,7.224489795918367,0.4,18.24,1.14,125527.02,10784.18,0.1,8152.38,7.38,5.52,5.12,0.46938775510204084,38.714285714285715,0.7755102040816326,57969.448979591834,8732.040816326531,0.12244897959183673,4551.183673469388,11.061224489795919,5.795918367346939,3.2244897959183674
