,matchId,game_result,win,visionScore,turretKills,totalDamageDealt,goldEarned,dragonKills,damageDealtToObjectives,assists,deaths,kills
0,EUW1_5537362419,0,0.9742869809368996,0.8940767502088751,0.8354459203036054,-0.979279617690972,-0.9736364458301332,-0.5709049255441008,-0.8692410269504863,-0.9688679092513722,-0.9411987630366238,-0.9201923221848763
1,EUW1_5535707954,0,-0.8426573426573427,-0.7358125370350582,0.8254866649515477,0.8920697212541043,0.9619309135014644,-0.2103343465045593,-0.6135925648027405,-0.7779113818605896,0.9507532495785066,0.9791831608834531
2,EUW1_5535284761,0,0.9282318662781781,0.775302140449032,-0.6422420305182052,-0.6289300003980407,-0.831614434023387,-0.611757374324886,-0.7861629025438083,0.763403333533907,-0.8788103374919365,-0.6537919649337528
3,EUW1_5535176408,0,0.9756174907061347,0.6654630906717914,0.9275797346517768,-0.8951324258852272,0.9928991137854012,0.7583490174990477,0.9190439492899007,0.7903321068368343,0.8915042008137637,-0.9427569231829477
4,EUW1_5533629981,0,-0.9675858022880608,0.9512812540413227,-0.9038915609969391,-0.9860793052838172,0.9742346360948115,-0.5190454336851767,-0.7242658916335386,-0.9737205170849713,0.926092937939468,0.9023589007439717
5,EUW1_5532356665,1,-0.8202199467703146,-0.5794539385236728,0.5215603886512035,0.6290345770442348,0.8188101141807115,0.9889514618288957,0.851568721005715,-0.7141740503048848,0.8399988028364641,0.6052423615864693
6,EUW1_5528911512,0,-0.8382829089513338,0.9708534942447432,-0.9005216915544099,-0.9562478555847752,0.9905031721215765,-0.7148476167032415,-0.8260126110049011,-0.997473037402896,-0.9877985294560536,-0.9211832377285245
7,EUW1_5527592954,1,-0.8523411125788936,0.9500986273789603,-0.6551227644740829,-0.8750378239819918,-0.9796321353458097,-0.6944230274993575,-0.7473267494693029,0.8937369674691547,0.8659025384994024,-0.9559743892942637
8,EUW1_5526241718,0,-0.8805641251652709,-0.9397964275906465,0.9426912202949491,0.8955183707385383,-0.9923374775648455,0.9287700534759358,0.8553759617075555,-0.9408021847365685,0.806317507683283,-0.953468624064479
9,EUW1_5524737342,0,0.9527326440177251,0.9677502226484893,-0.6860560794987026,-0.9029110987939839,-0.9254762354034001,0.7156732891832228,-0.9834412890103532,0.9930600876910775,-0.9637983995359445,-0.7715457943242551
